,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
260,online,2023,STEM,MSc,China,Finance,"BTC,ALT","remittance,trans",+++,,,50,study/research,N,Y
261,f2f,2024,STEM,PhD,USA,Finance,BTC,"remittance,trans",+++,1,,25,friends,Y,Y
262,online,2022,STEM,MSc,Africa,,ETH,remittance,+,1-3,,75,marketing,Y,Y
263,f2f,2021,Humanities,MSc,Europe,Technology,,"remittance,trans",+++,11,,75,friends,Y,Y
264,f2f,2022,STEM,3rd,India,,"BTC,DOGE",remittance,++,1-3,,25,friends,Y,Y
265,online,2021,STEM,PhD,South America,Finance,BTC,remittance,+,1-3,,75,friends,Y,N
266,online,2024,STEM,PhD,South America,Technology,BTC,"trade,remittance",+,5+,--,75,family,Y,Y
267,f2f,2021,Business,MSc,Turkey,Retail,BTC,"trade,remittance",+++,,--,25,marketing,Y,Y
268,online,2022,STEM,2nd,Turkey,,"BTC,ETH",remittance,++,1-3,,25,friends,N,N
269,online,2021,STEM,3rd,ME,Retail,BTC,trade,++,1-3,++,,friends,N,N
270,f2f,2023,Business,3rd,USA,Legal,"ETH,DOGE","remittance,trans",++,5+,,25,study/research,Y,Y
271,online,2020,Business,3rd,USA,Medical,"ETH,NFT,ALT",trade,+,1-3,--,,study/research,Y,N
272,online,2024,Business,MSc,China,Medical,ETH,"trade,remittance",+++,1-3,++,25,family,Y,Y
273,online,2022,STEM,MSc,China,Technology,"BTC,NFT","trade,remittance,trans",,1-3,,,family,Y,Y
274,online,2021,STEM,PhD,USA,Retail,BTC,"trade,remittance",+++,4-5,+,75,family,Y,Y
275,f2f,2024,STEM,PhD,China,Technology,ETH,"trade,remittance,trans",,1-3,,25,marketing,Y,Y
276,online,2020,Humanities,3rd,South America,Legal,"BTC,ALT",remittance,++,1-31-3,,25,marketing,Y,Y
277,online,2021,STEM,PhD,China,Technology,ETH,"trade,remittance",+++,1,-,75,marketing,Y,Y
278,online,2023,Humanities,1st,China,Technology,ALT,"remittance,trans",++,,,100,marketing,Y,Y
279,online,2021,STEM,MSc,Africa,Technology,,"trade,remittance",+,1-3,+,,family,Y,Y
280,f2f,2021,STEM,2nd,Africa,Medical,"BTC,ALT",trade,++,1,--,,marketing,Y,Y
281,online,2023,Business,1st,Turkey,Technology,ALT,"remittance,trans",+++,,,50,study/research,Y,Y
282,f2f,2022,STEM,3rd,China,Technology,"BTC,NFT,DOGE",trade,++,1,--,,marketing,N,N
283,online,2021,Business,PhD,China,Finance,ALT,"remittance,trans",+++,1,,100,study/research,Y,Y
284,online,2024,Humanities,3rd,Europe,Finance,"BTC,ETH",remittance,+++,1-3,,25,marketing,N,N
285,online,2021,STEM,PhD,India,Finance,"BTC,ETH","trade,remittance",+++,4-5,,,family,N,Y
286,f2f,2020,Business,3rd,Turkey,,"BTC,ALT","remittance,trans",++,1,,100,study/research,Y,Y
287,online,2022,Humanities,2nd,Africa,,"BTC,NFT",trade,+,1,--,,marketing,Y,Y
288,online,2020,Business,1st,ME,Public,"BTC,ETH,NFT",trade,+++,1,-,,friends,Y,N
289,online,2024,Business,Phd,Europe,Retail,"BTC,ALT","remittance,trans",+++,1-3,,25,study/research,Y,Y
290,online,2021,STEM,PhD,Turkey,Technology,ETH,"trade,remittance",+++,1,,25,family,Y,Y
291,online,2022,Humanities,3rd,Africa,Medical,"BTC,ALT",remittance,+++,11-3,,25,marketing,Y,Y
292,online,2021,STEM,MSc,South America,Engineering,"BTC,ETH","trade,remittance,trans",,1-3,++,25,friends,N,Y
293,online,2020,STEM,2nd,ME,Technology,"ETH,DOGE",remittance,+,,,50,friends,Y,Y
294,f2f,2020,Business,1st,Africa,,"BTC,ETH",trade,+,1-3,++,,friends,Y,N
295,online,2024,Business,PhD,Europe,Technology,ETH,"trade,remittance,trans",,1-3,++,,marketing,Y,Y
296,online,2021,STEM,MSc,China,Technology,"BTC,ETH","trade,remittance",,1,-,50,marketing,Y,Y
297,f2f,2020,Business,1st,ME,Medical,BTC,trade,+,1,--,,friends,Y,Y
298,online,2020,STEM,1st,Africa,,"BTC,ETH,ALT",trade,+,1-3,++,,marketing,Y,N
299,online,2020,STEM,1st,Africa,Retail,BTC,trade,+,1,++,,marketing,Y,Y
300,f2f,2020,STEM,1st,ME,,BTC,trade,++,1-3,--,,study/research,N,N
301,online,2023,Business,PhD,ME,Finance,BTC,trade,+,1-3,-,,family,Y,N
302,f2f,2023,STEM,2nd,Africa,Finance,ETH,trade,+++,1,++,,family,Y,Y
303,online,2021,Business,2nd,Africa,Technology,BTC,"trade,remittance,trans",+++,1-3,,25,marketing,N,N
304,online,2021,Business,2nd,Turkey,,"BTC,NFT,ALT",trade,++,1,--,,family,Y,N
305,online,2020,STEM,3rd,ME,Finance,"ETH,DOGE",trade,++,1-3,--,,friends,Y,Y
306,online,2020,Business,3rd,Turkey,Finance,"BTC,ETH",trade,++,4-5,,,study/research,Y,Y
307,online,2021,Humanities,2nd,China,Medical,DOGE,trade,+,1,--,,friends,Y,N
308,online,2022,STEM,1st,South America,Technology,"BTC,ALT",remittance,++,11-3,,75,study/research,N,Y
309,online,2020,STEM,PhD,India,Finance,NFT,"trade,remittance",+,,++,50,family,Y,Y
310,f2f,2023,STEM,3rd,Turkey,Technology,"BTC,ALT","remittance,trans",++,5+,,50,study/research,Y,Y
311,f2f,2023,STEM,MSc,India,Medical,"BTC,ETH","trade,remittance",++,1-3,++,100,family,Y,N
312,f2f,2024,Business,MSc,Europe,Finance,"BTC,NFT","remittance,trans",+++,1,,75,marketing,Y,N
313,f2f,2021,Business,MSc,Africa,Engineering,ETH,trade,+++,4-5,+++,,friends,N,Y
314,online,2021,STEM,3rd,Turkey,Finance,"ETH,DOGE","remittance,trans",+++,1,,75,marketing,Y,Y
315,online,2020,Business,1st,USA,Legal,"BTC,NFT,DOGE",trade,+,1,--,,marketing,Y,N
316,online,2022,Humanities,MSc,Turkey,Public,BTC,trade,+,1,--,,marketing,N,N
317,online,2020,STEM,2nd,Africa,Medical,"BTC,NFT,ALT",trade,++,1,++,,study/research,Y,N
318,f2f,2021,Business,3rd,Europe,Retail,"BTC,ETH",trade,+,1-3,++,,marketing,N,Y
319,online,2020,STEM,2nd,Europe,Finance,ETH,trade,+,5+,,,friends,N,N
320,f2f,2023,Business,PhD,China,Finance,ETH,"trade,remittance,trans",+++,4-5,-,,family,Y,Y
321,f2f,2021,Business,3rd,Europe,Medical,ALT,"remittance,trans",++,1-3,,25,family,Y,Y
322,online,2021,STEM,PhD,Turkey,Medical,"BTC,ETH",remittance,+++,4-5,,25,marketing,Y,Y
323,online,2020,STEM,MSc,ME,Finance,"BTC,ETH",trade,++,4-5,++,,study/research,Y,Y
324,f2f,2023,Business,2nd,ME,Finance,ETH,trade,++,1-3,-,,study/research,N,N
325,online,2024,STEM,MSc,China,Retail,,"trade,remittance,trans",+++,4-5,+,25,family,Y,Y
326,online,2022,STEM,PhD,Turkey,Technology,BTC,remittance,+,1-3,,75,friends,Y,Y
327,online,2024,Business,PhD,South America,Retail,"ETH,ALT","remittance,trans",++,11,,75,study/research,N,Y
328,online,2024,STEM,MSc,Turkey,Retail,BTC,trade,+,5+,--,,friends,Y,N
329,online,2024,STEM,MSc,USA,Technology,ETH,"trade,remittance,trans",+++,4-5,++,25,family,Y,Y
330,online,2024,Humanities,MSc,USA,Public,BTC,"remittance,trans",+++,4-5,,75,study/research,Y,Y
331,online,2024,STEM,1st,Turkey,Technology,"BTC,ETH",remittance,++,,,50,marketing,Y,Y
332,f2f,2024,Humanities,3rd,USA,Technology,"BTC,ALT",remittance,+++,1-3,,50,marketing,Y,Y
333,f2f,2021,STEM,3rd,UK,Technology,BTC,trade,+++,4-5,--,,friends,N,N
334,online,2022,Business,PhD,South America,Finance,,"trade,remittance,trans",++,1-3,+++,,family,N,N
335,online,2024,Business,1st,South America,Finance,BTC,"remittance,trans",++,5+,,25,study/research,Y,Y
336,f2f,2021,STEM,PhD,ME,Medical,ETH,"trade,remittance",+++,1,-,50,study/research,N,Y
337,f2f,2022,Business,PhD,Europe,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,--,75,family,N,N
338,online,2024,Business,MSc,South America,Technology,"BTC,NFT","remittance,trans",+++,4-5,,100,study/research,Y,Y
339,online,2021,STEM,MSc,Turkey,Finance,BTC,"trade,remittance",++,1-3,++,50,study/research,Y,N
340,f2f,2020,Business,MSc,USA,Public,"BTC,ETH,ALT","remittance,trans",++,1,,25,friends,Y,N
341,online,2020,STEM,1st,USA,Finance,"BTC,ALT",remittance,+++,5+,,25,friends,Y,Y
342,online,2021,Humanities,PhD,USA,Technology,BTC,"remittance,trans",+++,1-3,,75,friends,N,Y
343,online,2022,Humanities,1st,USA,Legal,"BTC,ALT",remittance,+++,1-31-3,,25,friends,Y,N
344,online,2021,STEM,PhD,China,Finance,ETH,"trade,remittance",++,1-3,+++,25,study/research,Y,Y
345,f2f,2022,STEM,2nd,ME,Medical,"ETH,ALT",remittance,++,11-3,,100,study/research,Y,Y
346,f2f,2022,Business,PhD,South America,Engineering,"BTC,ETH",remittance,+++,11-3,,75,friends,Y,Y
347,online,2023,Humanities,2nd,Africa,,"BTC,NFT,DOGE",trade,+,4-5,,,friends,Y,N
348,f2f,2024,STEM,3rd,Africa,Retail,"BTC,ETH","trade,remittance,trans",,1-3,+++,,family,Y,N
349,online,2020,Business,2nd,Africa,Finance,"BTC,NFT,DOGE",trade,++,1,,,marketing,N,Y
350,online,2023,STEM,2nd,USA,,"BTC,ALT",remittance,+++,4-5,,100,marketing,N,Y
351,online,2021,Business,PhD,China,Technology,"BTC,ETH","trade,remittance,trans",+++,,-,25,marketing,Y,Y
352,online,2021,STEM,MSc,Africa,Medical,NFT,"trade,remittance",+++,1-3,+++,25,family,N,N
353,online,2020,Humanities,PhD,USA,Legal,NFT,trade,+,1,+,,friends,Y,Y
354,online,2023,Humanities,3rd,Turkey,Technology,,"remittance,trans",++,4-5,,50,friends,Y,Y
355,online,2023,Business,MSc,Europe,Engineering,"ETH,ALT","remittance,trans",+++,1,,100,friends,Y,Y
356,online,2021,Business,MSc,Turkey,Medical,BTC,"remittance,trans",++,11,,25,family,Y,Y
357,online,2023,Business,2nd,Turkey,Finance,ETH,remittance,++,11-3,,50,marketing,N,Y
358,f2f,2021,Humanities,3rd,Turkey,Medical,"BTC,ALT","remittance,trans",+++,4-5,,75,marketing,Y,N
359,f2f,2021,Humanities,1st,ME,Retail,"ETH,NFT,ALT",trade,++,1-3,++,,friends,N,N
360,online,2023,STEM,MSc,ME,Finance,ETH,trade,++,1,--,,marketing,Y,Y
361,online,2022,Business,PhD,USA,Technology,"BTC,ETH","trade,remittance",+++,5+,++,100,family,Y,Y
362,f2f,2020,STEM,2nd,Africa,Finance,"BTC,ETH",trade,++,5+,,,family,N,N
363,f2f,2023,Humanities,PhD,Turkey,Technology,"BTC,NFT",remittance,+++,4-5,,25,friends,N,Y
364,f2f,2020,STEM,1st,Africa,Medical,NFT,trade,+,1,--,,friends,N,N
365,online,2020,Humanities,1st,Africa,Legal,BTC,trade,+,1,,,study/research,Y,N
366,f2f,2022,Business,2nd,South America,,BTC,remittance,++,1-3,,75,marketing,N,Y
367,online,2024,STEM,MSc,USA,Retail,"BTC,ETH","trade,remittance,trans",+++,,,25,family,Y,Y
368,f2f,2024,STEM,2nd,ME,Medical,"BTC,ETH,NFT",trade,+,5+,--,,marketing,N,Y
369,f2f,2020,Business,MSc,USA,Finance,"ETH,DOGE",remittance,+++,1-3,,25,marketing,N,N
370,online,2021,STEM,PhD,China,Technology,"BTC,ETH","trade,remittance",++,1,-,50,friends,Y,Y
371,f2f,2021,STEM,3rd,Europe,,ETH,"remittance,trans",+++,,,25,family,Y,Y
372,online,2021,STEM,PhD,South America,Engineering,"BTC,ETH","trade,remittance",+++,1-3,+++,50,marketing,Y,N
373,online,2023,Humanities,2nd,South America,Finance,"BTC,NFT",remittance,++,,,75,family,Y,Y
374,f2f,2020,Business,1st,Africa,Medical,"BTC,ALT",trade,++,5+,,,family,N,N
375,online,2022,Business,3rd,USA,Finance,ETH,"remittance,trans",+++,1-3,,100,study/research,Y,Y
376,f2f,2020,Business,MSc,ME,Finance,BTC,trade,+++,5+,-,,marketing,N,N
377,f2f,2021,STEM,PhD,Europe,Engineering,BTC,trade,+++,1,,,friends,Y,Y
378,f2f,2021,Business,MSc,Europe,Engineering,"BTC,ETH","trade,remittance",+,,,100,family,Y,Y
379,f2f,2024,Humanities,2nd,ME,,"ETH,DOGE",trade,+,1,--,,marketing,N,Y
380,online,2021,STEM,MSc,Turkey,Retail,BTC,"trade,remittance",+++,1-3,-,25,family,Y,Y
381,online,2020,STEM,2nd,ME,Retail,BTC,trade,+,1,--,,marketing,Y,N
382,f2f,2021,Humanities,2nd,India,Legal,BTC,trade,++,1,--,,marketing,Y,N
383,online,2021,Business,PhD,Turkey,Finance,"ETH,ALT","remittance,trans",++,1,,50,study/research,Y,Y
384,f2f,2023,Business,MSc,USA,Engineering,"ETH,ALT",remittance,+++,5+,,25,study/research,Y,N
385,f2f,2024,Business,PhD,China,Retail,"BTC,ETH","trade,remittance",,4-5,-,,marketing,Y,Y
386,f2f,2021,Business,PhD,Europe,Finance,,trade,+++,5+,+,,study/research,Y,Y
387,f2f,2020,Business,MSc,USA,Legal,"BTC,ALT",remittance,++,5+,,25,study/research,Y,Y
388,f2f,2022,Business,Phd,Turkey,Technology,"BTC,ALT","remittance,trans",+++,4-5,,50,friends,Y,Y
389,online,2021,STEM,PhD,China,Finance,BTC,trade,++,4-5,++,,study/research,Y,Y
390,online,2021,STEM,PhD,Turkey,Engineering,"BTC,NFT","trade,remittance",+++,4-5,-,25,family,Y,Y
391,online,2021,STEM,MSc,USA,Technology,NFT,"trade,remittance",++,5+,+++,75,family,Y,Y
392,online,2020,STEM,3rd,China,Technology,"ETH,DOGE",remittance,++,,,75,study/research,N,N
393,online,2024,STEM,MSc,ME,Finance,"BTC,NFT",trade,++,1,--,,family,N,Y
394,online,2020,Business,3rd,USA,Medical,"ETH,ALT","remittance,trans",++,4-5,,25,friends,Y,Y
395,online,2023,Humanities,PhD,China,Medical,"BTC,DOGE",remittance,+++,4-5,,100,study/research,N,Y
396,online,2022,Business,2nd,ME,Retail,BTC,trade,+,1-3,-,,marketing,Y,Y
397,online,2024,Business,MSc,Turkey,Technology,"BTC,ALT","remittance,trans",+++,,,100,study/research,Y,N
398,f2f,2024,Business,PhD,China,Engineering,"BTC,ETH","trade,remittance,trans",++,4-5,--,100,marketing,Y,N
399,online,2021,STEM,1st,China,,BTC,remittance,+++,1,,100,friends,Y,N
400,f2f,2021,STEM,PhD,UK,Finance,"ETH,DOGE",trade,+++,4-5,--,,friends,Y,Y
401,online,2022,STEM,PhD,Turkey,Medical,"BTC,NFT,ALT",trade,++,1,-,,marketing,Y,N
402,online,2022,Humanities,MSc,Africa,Retail,"BTC,NFT,DOGE",trade,+,1,+,,friends,Y,Y
403,f2f,2021,STEM,MSc,UK,Finance,NFT,trade,+++,4-5,,,friends,Y,N
404,online,2022,Business,Phd,China,Finance,"BTC,DOGE","remittance,trans",++,5+,,25,study/research,Y,Y
405,online,2021,Humanities,PhD,China,Technology,,trade,+++,1,--,,marketing,N,N
406,online,2024,Business,3rd,Turkey,Public,"BTC,ALT","remittance,trans",++,1,,25,study/research,Y,N
407,online,2020,Humanities,MSc,USA,Retail,"BTC,NFT,DOGE",trade,+,1,--,,study/research,Y,N
408,online,2021,STEM,Phd,Turkey,Legal,"BTC,ALT","remittance,trans",++,4-5,,25,study/research,Y,Y
409,online,2021,STEM,MSc,UK,Engineering,BTC,trade,++,4-5,+,,study/research,Y,Y
410,online,2020,Humanities,3rd,Turkey,Legal,"BTC,NFT,DOGE",trade,+,1,--,,friends,Y,N
411,online,2020,STEM,MSc,Europe,Finance,"BTC,ETH","trade,remittance",+++,,-,75,marketing,Y,Y
412,online,2020,STEM,PhD,Europe,Finance,"BTC,DOGE",trade,+++,1,++,,friends,Y,Y
413,f2f,2024,Business,3rd,South America,Medical,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
414,online,2021,Business,MSc,India,Technology,"ETH,NFT,ALT","remittance,trans",+++,11,,75,marketing,N,Y
415,online,2024,STEM,MSc,India,Finance,"BTC,ETH","trade,remittance",,,++,75,family,Y,Y
416,online,2021,STEM,3rd,USA,Retail,BTC,"trade,remittance,trans",+++,1-3,+,25,marketing,N,Y
417,online,2022,STEM,MSc,Turkey,Engineering,"BTC,ETH",remittance,++,11-3,,50,friends,Y,Y
418,online,2022,STEM,MSc,USA,Technology,DOGE,"trade,remittance",+++,,--,,family,N,N
419,online,2022,STEM,MSc,South America,Finance,"ETH,DOGE","remittance,trans",+++,1,,25,study/research,Y,Y
420,online,2024,Business,Phd,Turkey,Finance,"BTC,ALT","remittance,trans",+++,,,25,marketing,Y,Y
421,online,2021,Business,2nd,ME,Finance,,trade,++,1-3,+,,marketing,Y,Y
422,f2f,2024,STEM,PhD,ME,Engineering,"ETH,ALT",trade,+++,1-3,,,friends,Y,N
423,online,2021,STEM,PhD,India,Technology,"BTC,ETH","trade,remittance",+++,1-3,++,,friends,Y,Y
424,online,2022,Business,3rd,South America,Medical,BTC,remittance,+,11-3,,50,friends,Y,N
425,f2f,2022,Humanities,1st,China,Engineering,"ETH,ALT",remittance,+++,1-3,,75,family,Y,Y
426,f2f,2021,STEM,MSc,USA,Finance,ETH,"trade,remittance",+++,1-3,--,100,marketing,Y,N
427,f2f,2024,Business,MSc,India,Retail,BTC,"trade,remittance,trans",++,4-5,--,,family,N,N
428,online,2024,Humanities,1st,USA,Legal,DOGE,trade,+,1-3,--,,marketing,N,N
429,online,2022,STEM,MSc,South America,Retail,"BTC,ETH","trade,remittance,trans",+++,,+++,25,marketing,Y,Y
430,online,2020,Business,MSc,South America,Medical,BTC,"remittance,trans",++,1,,100,study/research,Y,Y
431,f2f,2022,STEM,MSc,ME,Finance,"BTC,ETH",trade,+++,1,-,,marketing,Y,Y
432,online,2024,Humanities,1st,Europe,Public,"BTC,ALT",trade,+,1,,,marketing,Y,Y
433,f2f,2021,STEM,MSc,UK,Technology,"ETH,DOGE",trade,+++,5+,,,study/research,Y,Y
434,f2f,2020,Humanities,MSc,USA,Medical,BTC,remittance,+++,1-3,,25,marketing,N,Y
435,online,2023,STEM,PhD,Turkey,Technology,"BTC,ETH","remittance,trans",+++,4-5,,50,study/research,Y,Y
436,f2f,2024,Business,Phd,India,Medical,"NFT,ALT","remittance,trans",++,4-5,,25,study/research,Y,N
437,online,2021,STEM,2nd,Turkey,Technology,ETH,remittance,+,1,,50,marketing,Y,Y
438,online,2024,Business,2nd,ME,Engineering,"BTC,NFT","trade,remittance,trans",,1-3,--,75,friends,N,Y
439,online,2020,STEM,PhD,China,Retail,"BTC,ETH","trade,remittance",,1,++,25,family,Y,Y
440,online,2020,STEM,MSc,ME,Medical,BTC,trade,++,1,-,,marketing,Y,N
441,online,2023,STEM,3rd,USA,Finance,"ETH,NFT,ALT","remittance,trans",+++,5+,,50,study/research,N,Y
442,f2f,2024,STEM,MSc,Europe,Finance,"BTC,ETH",trade,+++,4-5,++,,study/research,Y,Y
443,online,2021,Business,MSc,Europe,Retail,"ETH,DOGE",trade,+,1-3,+,,marketing,Y,Y
444,f2f,2020,Humanities,1st,Europe,Legal,"BTC,NFT,DOGE",trade,+,1,--,,marketing,Y,N
445,online,2024,STEM,2nd,USA,Retail,ETH,"trade,remittance,trans",++,4-5,++,50,family,N,Y
446,f2f,2020,Humanities,MSc,South America,Finance,"BTC,DOGE","remittance,trans",+++,4-5,,25,study/research,Y,N
447,online,2020,STEM,MSc,Africa,,BTC,trade,++,1,,,study/research,N,Y
448,online,2021,STEM,3rd,Africa,Retail,"BTC,ETH",trade,++,1-3,--,,marketing,Y,Y
449,online,2021,STEM,MSc,Africa,,"BTC,ETH,ALT",trade,++,1,,,friends,Y,N
450,f2f,2021,STEM,MSc,Turkey,,"NFT,ALT",trade,++,1-3,,,marketing,Y,Y
451,f2f,2024,STEM,PhD,UK,Engineering,ETH,trade,+++,1-3,+++,,study/research,Y,Y
452,online,2021,STEM,MSc,Turkey,Technology,,"trade,remittance",+++,1-3,++,25,family,Y,Y
453,online,2023,Business,3rd,Turkey,Public,"BTC,ETH,ALT","remittance,trans",+++,4-5,,50,friends,Y,N
454,online,2022,STEM,2nd,Africa,Finance,NFT,trade,+,1-3,++,,marketing,N,Y
455,online,2021,Humanities,1st,ME,Public,DOGE,trade,+,1,,,friends,Y,N
456,online,2024,STEM,Phd,Europe,Medical,"BTC,DOGE","remittance,trans",+++,1,,50,friends,Y,Y
457,online,2023,Humanities,Phd,South America,Finance,ALT,"remittance,trans",+++,11,,50,family,Y,Y
458,online,2020,STEM,PhD,ME,Medical,"BTC,ETH","trade,remittance",++,1,+,25,marketing,Y,N
459,online,2022,Business,MSc,Turkey,Retail,DOGE,"trade,remittance",+++,1-3,+,25,study/research,Y,Y
460,online,2024,Business,Phd,South America,Technology,ALT,"remittance,trans",+++,11,,100,study/research,Y,Y
461,online,2020,STEM,MSc,China,Finance,"BTC,ETH","trade,remittance",+,1-3,++,100,study/research,N,N
462,f2f,2020,STEM,1st,South America,,"BTC,DOGE",remittance,+++,1-3,,50,friends,Y,Y
463,f2f,2022,Business,MSc,Europe,Technology,"BTC,ALT","remittance,trans",+++,,,50,study/research,N,N
464,f2f,2023,STEM,MSc,Europe,Technology,BTC,trade,++,4-5,+++,,study/research,Y,Y
465,online,2023,Business,2nd,Turkey,Finance,,"trade,remittance,trans",+++,,++,,family,Y,Y
466,online,2024,STEM,PhD,South America,Finance,BTC,"remittance,trans",++,1-3,,100,friends,Y,Y
467,online,2023,STEM,MSc,Turkey,,,remittance,+,1-3,,50,study/research,Y,Y
468,online,2021,STEM,MSc,South America,Medical,BTC,"trade,remittance",+++,1-3,--,,family,Y,N
469,online,2020,STEM,MSc,Africa,Finance,ETH,"trade,remittance",+++,4-5,--,,marketing,Y,Y
470,f2f,2021,STEM,3rd,South America,Technology,,remittance,+++,1-3,,25,family,Y,Y
471,f2f,2021,Humanities,2nd,Europe,Technology,"BTC,ETH",trade,+,1,-,,friends,N,N
472,online,2024,Humanities,MSc,USA,Technology,"BTC,ETH","remittance,trans",++,11,,100,friends,Y,Y
473,online,2022,STEM,1st,South America,Finance,BTC,remittance,++,11-3,,50,marketing,Y,Y
474,f2f,2021,STEM,MSc,Africa,Engineering,,"trade,remittance",++,4-5,++,75,marketing,Y,N
475,online,2024,Business,3rd,India,Finance,ALT,"remittance,trans",+++,1-3,,25,marketing,Y,Y
476,online,2021,Business,MSc,Africa,Finance,"BTC,ETH,NFT",trade,++,4-5,,,marketing,N,Y
477,online,2020,Business,1st,South America,Technology,"BTC,NFT,DOGE",trade,+,1,--,,friends,N,N
478,online,2024,STEM,3rd,Africa,,BTC,remittance,+,1-3,,75,friends,Y,Y
479,f2f,2021,Business,MSc,UK,Finance,ETH,trade,++,4-5,+++,,study/research,Y,N
480,online,2021,Business,Phd,USA,Engineering,"BTC,ETH",remittance,+++,4-5,,100,family,Y,N
481,online,2022,STEM,3rd,USA,Retail,ETH,"trade,remittance,trans",+++,1-3,++,75,family,Y,Y
482,online,2024,STEM,MSc,South America,Technology,BTC,"trade,remittance,trans",,1-3,+++,,friends,Y,Y
483,online,2021,STEM,MSc,China,Retail,ETH,"trade,remittance",+,1,+++,25,family,Y,N
484,f2f,2021,Humanities,PhD,South America,Legal,"BTC,ETH",remittance,+++,1-3,,25,marketing,N,N
485,online,2021,STEM,MSc,ME,Technology,ETH,"trade,remittance",+++,1,+++,100,family,Y,N
486,online,2021,Business,MSc,Europe,Engineering,BTC,"trade,remittance",+,5+,+,25,family,Y,Y
487,online,2020,Business,2nd,Africa,Retail,BTC,trade,+++,1-3,,,marketing,Y,Y
488,online,2021,STEM,MSc,China,Engineering,BTC,remittance,+,1-3,,100,friends,Y,Y
489,online,2023,Business,1st,India,Retail,"BTC,ETH","remittance,trans",+++,4-5,,25,study/research,Y,N
490,online,2024,STEM,PhD,UK,Engineering,"BTC,ETH",trade,+++,1-3,-,,friends,Y,N
491,f2f,2022,Humanities,2nd,Europe,Retail,"NFT,ALT",trade,++,1-3,--,,marketing,Y,Y
492,online,2021,STEM,PhD,Africa,Technology,"BTC,NFT","trade,remittance",,1-3,+++,,marketing,Y,Y
493,f2f,2022,STEM,2nd,Africa,,"BTC,ETH",trade,+,4-5,--,,friends,Y,Y
494,f2f,2021,STEM,PhD,UK,Finance,"BTC,ETH",trade,+++,5+,+++,,study/research,N,N
495,f2f,2024,Business,MSc,USA,Public,"NFT,ALT","remittance,trans",++,1,,25,family,Y,N
496,online,2021,STEM,PhD,Turkey,Technology,"ETH,ALT",trade,++,1,,,friends,Y,Y
497,online,2024,Humanities,3rd,Turkey,Finance,"ETH,ALT","remittance,trans",++,1,,100,study/research,N,Y
498,f2f,2023,Business,1st,ME,,"BTC,ETH",trade,+,1,--,,marketing,Y,Y
499,online,2022,Humanities,MSc,ME,Retail,BTC,trade,+++,1,+,,marketing,Y,N
500,online,2024,STEM,3rd,Turkey,Finance,DOGE,trade,++,5+,++,,marketing,Y,N
501,online,2021,Humanities,1st,Turkey,Retail,DOGE,trade,++,4-5,--,,friends,Y,N
502,f2f,2022,STEM,MSc,ME,Medical,BTC,"trade,remittance",+++,1,,,study/research,Y,Y
503,f2f,2022,STEM,PhD,Africa,Technology,"BTC,ETH","trade,remittance,trans",,1-3,++,75,family,N,Y
504,online,2021,STEM,MSc,ME,Finance,"BTC,ALT",trade,+++,1-3,+++,,friends,Y,Y
505,f2f,2023,STEM,2nd,Africa,Finance,BTC,trade,+,1,,,marketing,Y,N
506,online,2021,Business,MSc,Turkey,Medical,"BTC,ETH","trade,remittance",,5+,--,25,study/research,N,Y
507,online,2023,STEM,MSc,South America,Medical,"BTC,ETH",remittance,+,1,,75,friends,Y,Y
508,online,2020,Business,MSc,Europe,Finance,"BTC,DOGE",trade,+,1-3,+,,friends,N,N
509,f2f,2021,STEM,3rd,India,Finance,"BTC,DOGE",remittance,+++,,,50,study/research,Y,N
510,f2f,2020,STEM,PhD,ME,Engineering,BTC,remittance,+,,,75,friends,N,Y
511,online,2024,Business,PhD,ME,Technology,"BTC,NFT","trade,remittance,trans",+++,4-5,+,25,friends,Y,N
